iter	RMSE
0	0.3991756989
1	0.395952777
2	0.393372939
3	0.3907453568
4	0.3881232383
5	0.3850674846
6	0.3822474285
7	0.3793771876
8	0.3767687943
9	0.37393741
10	0.3711155528
11	0.3685894509
12	0.3655553119
13	0.3631311698
14	0.3604268674
15	0.3578457292
16	0.3555643917
17	0.3529681607
18	0.3507705255
19	0.3479596123
20	0.3450116574
21	0.3426890089
22	0.3403664217
23	0.3377906619
24	0.33564357
25	0.3333930726
26	0.3310490555
27	0.328691357
28	0.3270632386
29	0.3248400844
30	0.3224612649
31	0.3206081739
32	0.3184984336
33	0.316091212
34	0.3138179952
35	0.3116942339
36	0.3094751362
37	0.3077543747
38	0.3059229828
39	0.3037594299
40	0.3021508971
41	0.3005266935
42	0.2990591821
43	0.2971969288
44	0.2951058328
45	0.2931047059
46	0.2913761114
47	0.2894937668
48	0.287806251
49	0.2862186362
50	0.2843169625
51	0.2825742551
52	0.2814126789
53	0.2806991985
54	0.2794731443
55	0.2775029103
56	0.2754470309
57	0.2741819538
58	0.2729397802
59	0.2724739148
60	0.2708990455
61	0.2690611069
62	0.2675041299
63	0.2657768767
64	0.2641365405
65	0.2627660836
66	0.2610425348
67	0.2594610011
68	0.2578566066
69	0.2563274212
70	0.2544802493
71	0.2533280341
72	0.2520114317
73	0.2507989886
74	0.2496477076
75	0.2483475923
76	0.2469639831
77	0.2458156442
78	0.2445749321
79	0.243081525
80	0.2419088354
81	0.2408504982
82	0.2397635807
83	0.2383974524
84	0.2372223295
85	0.2359636848
86	0.2349129899
87	0.2335199665
88	0.2324462113
89	0.2314548775
90	0.2303714472
91	0.2293625327
92	0.2282225478
93	0.2270322947
94	0.2260285398
95	0.2249510944
96	0.2241308495
97	0.223519863
98	0.2228879789
99	0.2217049062
100	0.2204940207
101	0.2197581418
102	0.2186917442
103	0.2176545779
104	0.2166128609
105	0.2157237887
106	0.2149702424
107	0.2141344728
108	0.2131472396
109	0.2125797411
110	0.2116182718
111	0.2107778915
112	0.2098550879
113	0.2089951732
114	0.2080117909
115	0.2074347602
116	0.2062754206
117	0.2053747412
118	0.2046504294
119	0.2037408385
120	0.2029466239
121	0.2022067291
122	0.201697571
123	0.2009072152
124	0.2003652561
125	0.1996092496
126	0.1987184405
127	0.1981458676
128	0.1973045066
129	0.1965223385
130	0.1958116667
131	0.1952735878
132	0.1944705465
133	0.193761746
134	0.1928633533
135	0.1921810459
136	0.1917002273
137	0.1910154974
138	0.1903202578
139	0.1897202767
140	0.189153139
141	0.1885799211
142	0.1877194326
143	0.1871879818
144	0.1867156327
145	0.1862875431
146	0.1856171157
147	0.185119785
148	0.1843861661
149	0.1836871888
150	0.1828578713
151	0.1822744671
152	0.1818777418
153	0.1813377066
154	0.1807976079
155	0.180150311
156	0.1796211294
157	0.1790556197
158	0.1784584075
159	0.1778616546
160	0.1775240271
161	0.1769312277
162	0.1763518789
163	0.1758825058
164	0.1752707455
165	0.1746067419
166	0.1740872527
167	0.1734701587
168	0.1729774547
169	0.1724084243
170	0.1718459812
171	0.1714762084
172	0.1709891578
173	0.170272257
174	0.1699883027
175	0.1698180377
176	0.1692966583
177	0.1689584567
178	0.168619511
179	0.1681613839
180	0.1677745473
181	0.1673844489
182	0.1669947377
183	0.16651707
184	0.1658442024
185	0.1656796358
186	0.1653226676
187	0.1648685847
188	0.1644424631
189	0.1640989927
190	0.163623265
191	0.1629956358
192	0.1625178376
193	0.1621668151
194	0.1616976102
195	0.1612870889
196	0.1608931128
197	0.1603759214
198	0.1599769445
199	0.1596113234
200	0.1591664101
201	0.158782624
202	0.1585882929
203	0.1582227857
204	0.157834097
205	0.1574300135
206	0.1569185282
207	0.1566509088
208	0.1563166469
209	0.1559592157
210	0.1557001521
211	0.1553222246
212	0.1548718678
213	0.1546701813
214	0.1542347633
215	0.1538598323
216	0.1535060251
217	0.1532857045
218	0.1530481938
219	0.1527573116
220	0.1524494337
221	0.1521464797
222	0.1519356161
223	0.1516557883
224	0.1512641907
225	0.1510232269
226	0.1507004114
227	0.1505160867
228	0.1502943759
229	0.1500416217
230	0.149777193
231	0.1495192129
232	0.1493079616
233	0.14910829
234	0.1488635184
235	0.1485649559
236	0.1483086506
237	0.1480893388
238	0.147852265
239	0.1475137292
240	0.1474096265
241	0.1471382506
242	0.1469790912
243	0.1467987533
244	0.1465714383
245	0.1463715087
246	0.1460458921
247	0.1458016863
248	0.1455845751
249	0.1455135385
250	0.1452840254
251	0.1451837868
252	0.1448798953
253	0.1448096203
254	0.1445589211
255	0.1442410149
256	0.1440426258
257	0.1438290245
258	0.1435328836
259	0.143400002
260	0.1431241353
261	0.1429472878
262	0.1427955171
263	0.1425951639
264	0.1422049899
265	0.1420666375
266	0.1417349558
267	0.1415435279
268	0.14140374
269	0.1412688771
270	0.1411068623
271	0.1409172072
272	0.1406583397
273	0.1404788469
274	0.1403471458
275	0.1402266111
276	0.1400522249
277	0.1399087542
278	0.1395824166
279	0.1393095724
280	0.1392234954
281	0.1390162992
282	0.138882911
283	0.1386417627
284	0.1384460478
285	0.1383501038
286	0.1381283669
287	0.1379282047
288	0.1377735788
289	0.1374789651
290	0.1372463051
291	0.1370424215
292	0.136721176
293	0.1365427333
294	0.1363072107
295	0.1361044857
296	0.1360090009
