iter	Passed	Remaining
0	20	31004
1	44	33544
2	66	33084
3	86	32236
4	105	31658
5	125	31270
6	141	30094
7	160	29940
8	180	29948
9	200	29902
10	222	30115
11	244	30310
12	263	30193
13	283	30057
14	301	29855
15	320	29739
16	340	29660
17	359	29588
18	378	29531
19	399	29554
20	419	29556
21	439	29495
22	458	29473
23	479	29486
24	498	29400
25	518	29398
26	539	29440
27	558	29386
28	578	29333
29	598	29306
30	617	29277
31	636	29202
32	656	29186
33	675	29137
34	696	29141
35	716	29122
36	735	29100
37	755	29085
38	775	29035
39	793	28960
40	812	28913
41	831	28879
42	855	28979
43	887	29358
44	912	29511
45	934	29542
46	955	29530
47	975	29503
48	996	29520
49	1019	29573
50	1040	29569
51	1061	29572
52	1083	29568
53	1104	29575
54	1125	29559
55	1146	29551
56	1166	29528
57	1187	29528
58	1208	29518
59	1229	29510
60	1250	29491
61	1277	29629
62	1312	29937
63	1333	29931
64	1357	29970
65	1383	30049
66	1405	30061
67	1425	30018
68	1444	29953
69	1462	29880
70	1481	29816
71	1499	29749
72	1518	29680
73	1537	29627
74	1555	29548
75	1573	29490
76	1592	29425
77	1611	29373
78	1629	29315
79	1648	29255
80	1666	29192
81	1685	29151
82	1703	29090
83	1724	29064
84	1743	29026
85	1762	28971
86	1780	28911
87	1800	28887
88	1819	28839
89	1838	28797
90	1848	28627
91	1866	28566
92	1885	28526
93	1905	28501
94	1924	28468
95	1943	28423
96	1962	28379
97	1979	28325
98	1998	28287
99	2019	28268
100	2037	28222
101	2055	28177
102	2074	28139
103	2092	28087
104	2111	28055
105	2130	28018
106	2149	27986
