iter	RMSE
0	0.3965087222
1	0.3923648915
2	0.3880467603
3	0.3841118971
4	0.3797743619
5	0.3758098027
6	0.3722858971
7	0.3685276549
8	0.3649263345
9	0.3612192722
10	0.3577592194
11	0.3538905854
12	0.3501545596
13	0.3468204326
14	0.3436313521
15	0.3404100829
16	0.3369527103
17	0.3336050251
18	0.3308578849
19	0.3280487927
20	0.3248688042
21	0.3217940862
22	0.3188956678
23	0.3158466549
24	0.3128726314
25	0.3101683273
26	0.3075494616
27	0.3049948409
28	0.3022236312
29	0.2997381747
30	0.2972909976
31	0.2951163741
32	0.2929947588
33	0.2903629127
34	0.2876397006
35	0.2853975202
36	0.2829191211
37	0.2803938946
38	0.278205367
39	0.2762828149
40	0.273772272
41	0.2716069705
42	0.2696818834
43	0.2673090571
44	0.2653278127
45	0.2634516637
46	0.2615369484
47	0.2596440695
48	0.2574714397
49	0.2552646559
50	0.2534400732
51	0.2516000947
52	0.2499026073
53	0.248281847
54	0.2466526238
55	0.2447517193
56	0.2428776107
57	0.2411512577
58	0.2399974694
59	0.2382087532
60	0.2370205943
61	0.235635436
62	0.2338688009
63	0.2322500959
64	0.2305302067
65	0.22907366
66	0.227590178
67	0.2263356841
68	0.2248963632
69	0.223346831
70	0.2220555159
71	0.2206114121
72	0.2192550588
73	0.2177282944
74	0.2163901595
75	0.2151014242
76	0.2137182305
77	0.212230699
78	0.2111069491
79	0.2098366257
80	0.2087668719
81	0.2073637671
82	0.2062289291
83	0.205108607
84	0.2039332998
85	0.2033909471
86	0.2021168581
87	0.2011321418
88	0.1998974665
89	0.198950116
90	0.1976509726
91	0.1969312042
92	0.1957838329
93	0.1949749045
94	0.1938573527
95	0.1927985889
96	0.1917785765
97	0.1907046378
98	0.19006159
99	0.1891415228
100	0.1882949743
101	0.1871889026
102	0.1865139121
103	0.1855373585
104	0.184536108
105	0.183614995
106	0.1826395342
107	0.1818021097
108	0.1810005708
109	0.1799487723
110	0.1792524
111	0.17856986
112	0.1777857329
113	0.1770958071
114	0.1763586047
115	0.1757260522
116	0.175068748
117	0.1742648693
118	0.1735929424
119	0.1728433622
120	0.1721260528
121	0.1714817382
122	0.1708351276
123	0.1702300581
124	0.1694930747
125	0.1686892108
126	0.1680351043
127	0.1673153033
128	0.1665264435
129	0.1659676957
130	0.1653778986
131	0.1646972648
132	0.1640216515
133	0.1633192369
134	0.1628819062
135	0.1621266695
136	0.1615044933
137	0.1608857335
138	0.160328112
139	0.1597440937
140	0.1592140085
141	0.1587616712
142	0.1582657263
143	0.1576718816
144	0.1572632756
145	0.15663526
146	0.1560599072
147	0.1554638423
148	0.1548744033
149	0.1543383288
150	0.1539851035
151	0.1534873879
152	0.1531222163
153	0.1526199948
154	0.1521413272
155	0.1516076943
156	0.151346367
157	0.1508929152
158	0.150428835
159	0.150171716
160	0.1497182133
161	0.1491756653
162	0.1487697677
163	0.1483546168
164	0.1479772687
165	0.1475612584
166	0.1472568714
167	0.1468604354
168	0.1464851823
169	0.1461016348
170	0.1458340132
171	0.1455879433
172	0.145233753
173	0.1447231044
174	0.1443988004
175	0.1439866848
176	0.1436872081
177	0.1434101391
178	0.1430946166
179	0.1428147507
180	0.1424721934
181	0.1423151344
182	0.1420205146
183	0.14160536
184	0.1412019092
185	0.1407657821
186	0.1404246335
187	0.1400839099
188	0.1396947076
189	0.1394250812
190	0.1390133463
191	0.138773621
192	0.1384962202
193	0.138309682
194	0.1380632976
195	0.1377779489
196	0.1374756439
197	0.1373080292
198	0.137060022
199	0.1368098414
200	0.1364821043
201	0.1361686869
202	0.1358681144
203	0.1355220097
204	0.135319632
205	0.135034077
206	0.1348874865
207	0.1346407199
208	0.1343238153
209	0.1340501648
210	0.1339127712
211	0.1337021581
212	0.1334851394
213	0.1332675599
214	0.1330231745
215	0.1327128396
216	0.1326153128
217	0.1323648127
218	0.1321380337
219	0.1319602902
220	0.131596781
221	0.1314351652
222	0.131242027
223	0.1310305937
224	0.1307558296
225	0.1304715472
226	0.1303461074
227	0.1301143633
228	0.1298925833
229	0.12965757
230	0.1294504715
231	0.1292429871
232	0.1289793458
233	0.128751328
234	0.128587608
235	0.1284154274
236	0.1281700578
237	0.1279680925
238	0.1277445692
239	0.1275004435
240	0.1273279359
241	0.1271121095
242	0.1268923044
243	0.1266874689
244	0.1265379813
245	0.1263185654
246	0.1261571818
