iter	Passed	Remaining
0	26	132218
1	56	141787
2	89	148266
3	119	149220
4	148	148787
5	181	151100
6	210	150462
7	226	141262
8	256	142280
9	285	142506
10	314	142428
11	345	143547
12	375	143935
13	404	144175
14	435	144846
15	465	145018
16	495	145095
17	525	145401
18	554	145405
19	586	146001
20	619	146788
21	647	146403
22	670	144993
23	699	145090
24	730	145320
25	759	145384
26	790	145552
27	822	146086
28	853	146218
29	881	146017
30	913	146436
31	967	150237
32	998	150226
33	1027	150079
34	1055	149755
35	1077	148568
36	1107	148566
37	1138	148622
38	1167	148535
39	1196	148354
40	1235	149444
41	1263	149165
42	1292	148954
43	1321	148898
44	1352	148939
45	1383	149024
46	1412	148823
47	1444	148978
48	1474	148945
49	1502	148749
50	1531	148655
51	1561	148607
52	1590	148476
53	1620	148438
54	1654	148730
55	1694	149588
56	1724	149523
57	1754	149526
58	1765	147854
59	1795	147839
60	1817	147136
61	1847	147142
62	1870	146587
63	1903	146796
64	1933	146829
65	1964	146829
66	2000	147262
67	2031	147373
68	2061	147336
69	2090	147233
70	2120	147200
71	2151	147248
72	2179	147105
73	2210	147145
74	2241	147161
75	2271	147136
76	2301	147139
77	2332	147175
78	2362	147152
79	2393	147195
80	2424	147213
81	2455	147253
82	2484	147205
83	2514	147146
84	2545	147171
85	2555	145998
86	2583	145906
87	2615	145978
88	2646	146028
89	2668	145572
90	2699	145620
91	2731	145718
92	2760	145646
93	2789	145613
94	2820	145630
95	2851	145656
96	2883	145771
97	2915	145854
98	2950	146049
99	2980	146054
100	3011	146067
101	3040	146008
102	3071	146051
103	3102	146074
104	3134	146128
105	3167	146224
106	3196	146171
107	3225	146120
108	3257	146166
109	3286	146105
110	3316	146075
111	3349	146162
112	3395	146832
113	3428	146956
114	3457	146877
115	3487	146850
116	3518	146841
117	3548	146795
118	3578	146765
119	3608	146742
120	3640	146798
121	3675	146972
122	3706	146945
123	3736	146919
124	3765	146866
125	3796	146859
126	3826	146806
127	3856	146787
128	3887	146798
129	3913	146608
130	3943	146573
131	3973	146521
132	4005	146588
133	4034	146516
134	4066	146557
135	4098	146565
136	4129	146585
137	4159	146530
138	4192	146630
139	4224	146663
140	4255	146662
141	4286	146659
142	4317	146647
143	4348	146633
144	4369	146305
145	4400	146303
146	4431	146312
147	4463	146316
148	4492	146250
149	4534	146619
150	4556	146320
151	4586	146283
152	4616	146234
153	4645	146181
154	4676	146177
155	4708	146208
156	4740	146216
157	4770	146202
158	4806	146342
159	4816	145707
160	4849	145743
